,Region,County,First Dose,Series Complete,Report as of
517,Mohawk Valley,Herkimer,102,0,12/22/2020
518,North Country,Jefferson,41,0,12/22/2020
519,New York City,Kings,5218,23,12/22/2020
520,North Country,Lewis,9,0,12/22/2020
521,Finger Lakes,Livingston,89,0,12/22/2020
522,Central New York,Madison,187,0,12/22/2020
523,Finger Lakes,Monroe,2680,4,12/22/2020
524,Mohawk Valley,Montgomery,107,0,12/22/2020
525,Long Island,Nassau,4194,6,12/22/2020
526,New York City,New York,6571,18,12/22/2020
527,Western New York,Niagara,565,0,12/22/2020
528,Mohawk Valley,Oneida,521,0,12/22/2020
529,Central New York,Onondaga,1432,5,12/22/2020
530,Finger Lakes,Ontario,247,0,12/22/2020
531,Mid-Hudson,Orange,1185,11,12/22/2020
532,Finger Lakes,Orleans,32,0,12/22/2020
533,Central New York,Oswego,92,0,12/22/2020
534,Mohawk Valley,Otsego,189,0,12/22/2020
535,Mid-Hudson,Putnam,137,3,12/22/2020
536,New York City,Queens,3890,17,12/22/2020
537,Capital Region,Rensselaer,291,1,12/22/2020
538,New York City,Richmond,1771,2,12/22/2020
539,Mid-Hudson,Rockland,860,1,12/22/2020
540,Capital Region,Saratoga,693,2,12/22/2020
541,Capital Region,Schenectady,400,0,12/22/2020
542,Mohawk Valley,Schoharie,27,0,12/22/2020
543,Southern Tier,Schuyler,1,0,12/22/2020
544,Finger Lakes,Seneca,35,0,12/22/2020
545,North Country,St. Lawrence,680,2,12/22/2020
546,Southern Tier,Steuben,80,0,12/22/2020
547,Long Island,Suffolk,2944,10,12/22/2020
548,Mid-Hudson,Sullivan,87,1,12/22/2020
549,Southern Tier,Tioga,5,0,12/22/2020
550,Southern Tier,Tompkins,32,0,12/22/2020
551,Mid-Hudson,Ulster,311,2,12/22/2020
552,Capital Region,Warren,152,0,12/22/2020
553,Capital Region,Washington,76,0,12/22/2020
554,Finger Lakes,Wayne,94,1,12/22/2020
555,Mid-Hudson,Westchester,2634,12,12/22/2020
556,Finger Lakes,Wyoming,60,0,12/22/2020
557,Finger Lakes,Yates,19,0,12/22/2020
558,Capital Region,Albany,2020,4,12/23/2020
559,Western New York,Allegany,137,0,12/23/2020
560,New York City,Bronx,2010,6,12/23/2020
